IPC subclass,Label
B61B,철도 방식; 달리 분류되지 않는 설비
B61C,기관차; 동력차
B61D,철도 차량의 종류와 차체 세부
B61F,철도 차량 현가 장치
B61G,철도차량에 특별히 적용되는 연결기; 철도차량에 특별히 적용되는 인장 또는 완충 장치
B61H,철도 차량에 특별히 적용된 브레이크 또는 기타 보상 장치; 철도 차량에서의 배치 또는 배치
B61J,차량을 이동하는 것 또는 교환하는 것
B61K,철도를 위한 특별히 적용된 보조 장치; 달리 분류되지 않는 것
B61L,철도 교통의 안내; 철도 교통의 보안
B62B,"수동 추진 차량,"
B62C,동물 견인 운반차
B62D,자동차; 트레일러(Trailers) 
B62H,자전차 스탠드; 자동차의 주차 또는 저장을 위한 지지 또는 유지구; 자전차의 불허가 사용 또는 도난을 방지하거나 표시하는 기구; 자전차 자물쇠; 자전차 연습 장치
B62J,자전거용 안장 또는 시트; 자전거에 특별히 적합한 부가적인 장치 또는 부속품 및 달리 분류되지 않는 것
B62K,"자전차; 자전차 프레임; 자전차 조향 장치; 특히 자전차용에 적용된 운전자 조작 제어장치; 차축 현가 장치(axle suspension), 사이드 카아, 전방에 연결하는 차체, 그 밖에 이것과 유사한 것"
B62L,자전차용 제동장치
B62M,차륜이 부착된 차량 또는 썰매의 인력 추진; 썰매 또는 사이클의 동력 추진; 그와 같은 차량에 특히 적합한 동력전달장치
B63B,선박 또는 그 밖의 물에 뜨는 구조물; 선적을 위한 장치
B63C,"선박의 진수, 견인에 의한 운반, 드라이 독크(dry- docking)에의 입출; 수난구조; 수중에서의 생존 또는 탐색용의 장치; 수중물의 인상 또는 탐색용의 장치"
B63G,선박용의 공격 또는 방어용 설비
B63H,선박의 추진 또는 조타
B63J,선박용 보조장치
B64B,경항공기(
B64C,비행기; 헬리콥터
B64D,항공기의 장비; 비행복; 패러슈트(parachute 낙하산); 항공기 내의 동력 장치 또는 추진 전달 기구의 설비 또는 장치
B64F,"항공기와 연관된 사용에 특히 적합한 지상 또는 항공 모함 갑판 설비; 다른곳에 분류되지 않는 설계, 제조, 조립, 청소, 유지 또는 항공기 수리; 다른 곳에 분류되지 않는 항공기 부품의 취급, 이송, 테스팅 또는 검사"
B64G,우주비행; 우주 항공체 또는 그 장비(
B65B,"물품 또는 재료를 포장하기 위한 기계, 기구, 장치 또는 방법; 포장 해체"
B65C,"라벨 부착 또는 태그(tag)부착용 기계, 장치 또는 과정"
B65D,물품 또는 재료의 보관 또는 수송용의 용기
B65F,가정의 쓰레기 또는 그것에 유사한 쓰레기의 수집 또는 이송
B65G,운반 또는 저장 장치
B65H,박판상 또는 선조재료
B66B,엘리베이터; 에스컬레이터 또는 이동 보도
B66C,"클레인; 크레인, 캡스탄, 윈치(winches) 또는 태클(tackles)용 하물 계합 요소 또는 장"
B66D,캡스탄(capstans); 윈치(winches); 태클(tackles)
B66F,"달리 분류되지 않는 감아올리기, 들어올리기 또는 견인 또는 압진"
B67B,"병, 단지 또는 이것과 유사한 용기의 밀폐 부재의 장착; 밀폐용기의 개봉"
B67C,"달리 분류되지 않는 병, 단지, 캔, 통 또는 유사한 용기의 액체 또는 반 액체의 충전, 비움(Emptyin6g); 깔대기"
B67D,"달리 분류되지 않는 액체의 분배, 방출 또는 이송"
B68B,마구; 그것에 관련하여 사용하는 기구; 말채찍 또는 그와 유사한 것
B68C,말의 안장; 등자
B68F,"피혁(Leather), 범포(canvas) 또는 그 유사품으로부터의 물품의 제조"
B68G,충전물
B81B,마이크로 구조 장치 또는 시스템
B81C,마이크로 구조적 장치 또는 시스템의 제조 또는 처리에 특히 적합한 방법 또는 장치
B82B,"개별단위로서의 분자, 원자들의 제한된 집합 또는 개별 원자, 분자의 조작에 의해 형성된 나노구조; 그의 취급 또는 제조"
B82Y,나노 구조의 응용 또는 특정한 사용;  나노 구조의 분석 또는 측정;  나노 구조의 처리 또는 제조
B99Z,이 섹션 중에서 그 밖에 분류되지 않는 주제 사항
C01B,비금속 원소; 그 화합물
C01C,암모니아; 시안; 이들의 화합물
C01D,"알칼리 금속의 화합물, 즉. 리튬, 나트륨, 칼륨, 루비듐, 세슘, 또는 프란슘"
C01F,"금속 베릴륨, 마그네슘, 알루미늄, 칼슘, 스트론튬, 바륨, 라듐, 토륨, 또는 희토류 금속의 화합물"
C01G,서브클래스 C01D 또는 C01F에 의해 포함되지 않는 금속을 포함하는 화합물
C02F,"물, 폐수, 하수 또는 오니(슬러지)의 처리"
C03B,"제조, 성형 또는 보조공정"
C03C,"유리, 유약(glazes) 또는 유리질 법랑(Vitreous enamels)의 화학적 조성; 유리의 표면 처리; 유리, 광물 또는 슬래그로부터 제조된 섬유 또는 필라멘트의 표면 처리; 유리와 유리 또는 타물질과의 접착"
C04B,"석회; 마그네시아; 슬래그; 시멘트; 그 조성물, 예. 모르타르, 콘크리트 또는 유사한 건축재료; 인조석; 세라믹"
C05B,인산 비료
C05C,질소 비료
C05D,"서브클래스 C05B, C05C 에 분류되지 않는 무기질 비료"
C05F,"서브클래스 C05B, C 에 분류되지 않는 유기질 비료,"
C05G,각각이 C05 중의 상이한 서브클래스에 포함되는 비료의 혼합물; 하나 또는 그 이상의 비료와 특히 비료 활성을 갖지 않는 첨가제와의 혼합물
C06B,화약 또는 발열성 조성물
C06C,기폭 장치 또는 점화 장치; 자연 발화제; 화학적 점화구; 도화선
C06D,연기 또는 안개의 발생 용구; 가스탄 조성물; 폭파 또는 추진용 가스의 발생 
C06F,성냥; 성냥의 제조
C07B,유기 화학의 일반적 방법; 장치
C07C,비환 화합물 또는 탄소환 화합물
C07D,이종원자 고리 화합물
